geo.ar_association_key_name,geo.cached_slug,geo.coroner_system,geo.created_at,geo.id,geo.kind,geo.medical_examiner_system,geo.name,geo.postal_abbreviation,geo.updated_at,geo.system_types.medical_examiner_system,geo.system_types.coroner_system,cached_slug,coroner_system,created_at,id,kind,medical_examiner_system,name,postal_abbreviation,updated_at,year,annual_fiscal_budget,autopsies,autopsy_ratio,autopsy_standard_deviation,contract_cases,forensic_pathologists,population1,pt_provisional_forensic_pathologists,raw_autopsy_rate,accreditation,bc_forensic_pathologists,created_at1,fellows,id1,name1,pt_bc_forensic_pathologists,pt_uc_forensic_pathologists,uc_forensic_pathologists,updated_at1,website
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2004,1245100,246,0.200488,0.606,0,NA,661569,0,8.06293,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2005,1271400,222,0.098778,0.284,0,NA,669488,0,7.00758,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2006,1337800,321,0.416392,1.267,0,NA,677325,0,9.57066,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2007,1999600,223,-0.130083,-0.434,0,NA,682297,0,6.4395,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2008,2198600,265,NA,NA,0,1,688125,0,NA,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2009,2039e3,348,NA,NA,0,2,698473,0,NA,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2010,2244400,531,NA,NA,0,3,0,0,NA,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2004,1245100,246,0.200488,0.606,0,NA,661569,0,8.06293,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2005,1271400,222,0.098778,0.284,0,NA,669488,0,7.00758,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
1,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,state,none,ak,none,2011-05-04T12:22:11-04:00,2,state,state,Alaska,AK,2011-05-04T12:25:09-04:00,2006,1337800,321,0.416392,1.267,0,NA,677325,0,9.57066,,2,2011-05-04T12:22:12-04:00,0,1,Alaska Medical Examiner,0,0,0,2011-05-04T12:24:36-04:00,http://www.hss.state.ak.us/dph/sme/default.htm
