"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,1,"density-1",2
"V2","V56",1,1,1,"density-1",2
"V2","V79",1,1,1,"density-1",2
"V3",NA,NA,1,1,"density-1",2
"V4","V128",1,1,1,"density-1",2
"V5","V9",1,1,1,"density-1",2
"V5","V138",1,1,1,"density-1",2
"V6","V37",1,1,1,"density-1",2
"V6","V128",1,1,1,"density-1",2
"V7","V107",1,1,1,"density-1",2
"V8",NA,NA,1,1,"density-1",2
"V9","V5",1,1,1,"density-1",2
"V9","V98",1,1,1,"density-1",2
"V10",NA,NA,1,1,"density-1",2
"V11",NA,NA,1,1,"density-1",2
"V12","V103",1,1,1,"density-1",2
"V12","V113",1,1,1,"density-1",2
"V12","V129",1,1,1,"density-1",2
"V12","V137",1,1,1,"density-1",2
"V13","V29",1,1,1,"density-1",2
"V13","V113",1,1,1,"density-1",2
"V13","V120",1,1,1,"density-1",2
"V13","V145",1,1,1,"density-1",2
"V14","V20",1,1,1,"density-1",2
"V14","V60",1,1,1,"density-1",2
"V14","V89",1,1,1,"density-1",2
"V15",NA,NA,1,1,"density-1",2
"V16","V13",1,1,1,"density-1",2
"V17","V36",1,1,1,"density-1",2
"V17","V112",1,1,1,"density-1",2
"V18","V34",1,1,1,"density-1",2
"V18","V123",1,1,1,"density-1",2
"V19","V40",1,1,1,"density-1",2
"V19","V69",1,1,1,"density-1",2
"V20","V25",1,1,1,"density-1",2
"V20","V63",1,1,1,"density-1",2
"V20","V88",1,1,1,"density-1",2
"V21","V122",1,1,1,"density-1",2
"V22","V80",1,1,1,"density-1",2
"V23","V25",1,1,1,"density-1",2
"V24",NA,NA,1,1,"density-1",2
"V25","V23",1,1,1,"density-1",2
"V25","V100",1,1,1,"density-1",2
"V25","V147",1,1,1,"density-1",2
"V26",NA,NA,1,1,"density-1",2
"V27",NA,NA,1,1,"density-1",2
"V28",NA,NA,1,1,"density-1",2
"V29","V23",1,1,1,"density-1",2
"V30","V29",1,1,1,"density-1",2
"V30","V134",1,1,1,"density-1",2
"V31","V91",1,1,1,"density-1",2
"V31","V93",1,1,1,"density-1",2
"V31","V109",1,1,1,"density-1",2
"V32","V60",1,1,1,"density-1",2
"V33","V61",1,1,1,"density-1",2
"V33","V100",1,1,1,"density-1",2
"V33","V129",1,1,1,"density-1",2
"V34","V18",1,1,1,"density-1",2
"V35","V123",1,1,1,"density-1",2
"V36","V17",1,1,1,"density-1",2
"V36","V137",1,1,1,"density-1",2
"V37","V6",1,1,1,"density-1",2
"V37","V137",1,1,1,"density-1",2
"V38",NA,NA,1,1,"density-1",2
"V39","V101",1,1,1,"density-1",2
"V40",NA,NA,1,1,"density-1",2
"V41","V5",1,1,1,"density-1",2
"V41","V110",1,1,1,"density-1",2
"V42",NA,NA,1,1,"density-1",2
"V43","V127",1,1,1,"density-1",2
"V44","V39",1,1,1,"density-1",2
"V45",NA,NA,1,1,"density-1",2
"V46","V60",1,1,1,"density-1",2
"V46","V140",1,1,1,"density-1",2
"V47","V70",1,1,1,"density-1",2
"V47","V80",1,1,1,"density-1",2
"V47","V110",1,1,1,"density-1",2
"V47","V121",1,1,1,"density-1",2
"V48","V45",1,1,1,"density-1",2
"V49",NA,NA,1,1,"density-1",2
"V50","V69",1,1,1,"density-1",2
"V51","V61",1,1,1,"density-1",2
"V52","V16",1,1,1,"density-1",2
"V52","V105",1,1,1,"density-1",2
"V52","V112",1,1,1,"density-1",2
"V53","V24",1,1,1,"density-1",2
"V53","V82",1,1,1,"density-1",2
"V53","V154",1,1,1,"density-1",2
"V54","V154",1,1,1,"density-1",2
"V55","V107",1,1,1,"density-1",2
"V56","V132",1,1,1,"density-1",2
"V57","V120",1,1,1,"density-1",2
"V58",NA,NA,1,1,"density-1",2
