"from","to","dep.var.id","wave","sim","model","ord"
"V1","V31",1,1,1,"reciprocity10",2
"V1","V88",1,1,1,"reciprocity10",2
"V2",NA,NA,1,1,"reciprocity10",2
"V3","V86",1,1,1,"reciprocity10",2
"V4","V128",1,1,1,"reciprocity10",2
"V5","V9",1,1,1,"reciprocity10",2
"V5","V68",1,1,1,"reciprocity10",2
"V6","V37",1,1,1,"reciprocity10",2
"V7","V67",1,1,1,"reciprocity10",2
"V7","V107",1,1,1,"reciprocity10",2
"V8",NA,NA,1,1,"reciprocity10",2
"V9","V5",1,1,1,"reciprocity10",2
"V10","V114",1,1,1,"reciprocity10",2
"V11","V98",1,1,1,"reciprocity10",2
"V12","V103",1,1,1,"reciprocity10",2
"V13","V25",1,1,1,"reciprocity10",2
"V13","V113",1,1,1,"reciprocity10",2
"V13","V120",1,1,1,"reciprocity10",2
"V13","V145",1,1,1,"reciprocity10",2
"V14","V89",1,1,1,"reciprocity10",2
"V14","V125",1,1,1,"reciprocity10",2
"V15","V59",1,1,1,"reciprocity10",2
"V16","V155",1,1,1,"reciprocity10",2
"V17","V32",1,1,1,"reciprocity10",2
"V17","V36",1,1,1,"reciprocity10",2
"V17","V110",1,1,1,"reciprocity10",2
"V18","V141",1,1,1,"reciprocity10",2
"V19","V40",1,1,1,"reciprocity10",2
"V20","V88",1,1,1,"reciprocity10",2
"V21",NA,NA,1,1,"reciprocity10",2
"V22","V80",1,1,1,"reciprocity10",2
"V23","V25",1,1,1,"reciprocity10",2
"V24","V32",1,1,1,"reciprocity10",2
"V24","V139",1,1,1,"reciprocity10",2
"V25","V23",1,1,1,"reciprocity10",2
"V26","V134",1,1,1,"reciprocity10",2
"V27",NA,NA,1,1,"reciprocity10",2
"V28","V144",1,1,1,"reciprocity10",2
"V29","V30",1,1,1,"reciprocity10",2
"V29","V92",1,1,1,"reciprocity10",2
"V30","V29",1,1,1,"reciprocity10",2
"V31",NA,NA,1,1,"reciprocity10",2
"V32","V17",1,1,1,"reciprocity10",2
"V32","V24",1,1,1,"reciprocity10",2
"V32","V152",1,1,1,"reciprocity10",2
"V33","V61",1,1,1,"reciprocity10",2
"V33","V129",1,1,1,"reciprocity10",2
"V34",NA,NA,1,1,"reciprocity10",2
"V35",NA,NA,1,1,"reciprocity10",2
"V36","V17",1,1,1,"reciprocity10",2
"V37","V6",1,1,1,"reciprocity10",2
"V37","V12",1,1,1,"reciprocity10",2
"V38","V55",1,1,1,"reciprocity10",2
"V39",NA,NA,1,1,"reciprocity10",2
"V40","V19",1,1,1,"reciprocity10",2
"V40","V88",1,1,1,"reciprocity10",2
"V40","V140",1,1,1,"reciprocity10",2
"V41",NA,NA,1,1,"reciprocity10",2
"V42","V121",1,1,1,"reciprocity10",2
"V43","V40",1,1,1,"reciprocity10",2
"V43","V127",1,1,1,"reciprocity10",2
"V44","V46",1,1,1,"reciprocity10",2
"V44","V129",1,1,1,"reciprocity10",2
"V45","V73",1,1,1,"reciprocity10",2
"V45","V147",1,1,1,"reciprocity10",2
"V46","V44",1,1,1,"reciprocity10",2
"V46","V140",1,1,1,"reciprocity10",2
"V47","V70",1,1,1,"reciprocity10",2
"V47","V110",1,1,1,"reciprocity10",2
"V48",NA,NA,1,1,"reciprocity10",2
"V49","V52",1,1,1,"reciprocity10",2
"V50","V92",1,1,1,"reciprocity10",2
"V51","V61",1,1,1,"reciprocity10",2
"V51","V147",1,1,1,"reciprocity10",2
"V52","V49",1,1,1,"reciprocity10",2
"V52","V105",1,1,1,"reciprocity10",2
"V53",NA,NA,1,1,"reciprocity10",2
"V54","V154",1,1,1,"reciprocity10",2
"V55","V38",1,1,1,"reciprocity10",2
"V55","V87",1,1,1,"reciprocity10",2
"V56","V77",1,1,1,"reciprocity10",2
"V56","V132",1,1,1,"reciprocity10",2
"V57","V120",1,1,1,"reciprocity10",2
"V58",NA,NA,1,1,"reciprocity10",2
"V59","V15",1,1,1,"reciprocity10",2
"V60","V103",1,1,1,"reciprocity10",2
"V61","V33",1,1,1,"reciprocity10",2
"V61","V90",1,1,1,"reciprocity10",2
"V61","V147",1,1,1,"reciprocity10",2
"V62","V98",1,1,1,"reciprocity10",2
"V63","V48",1,1,1,"reciprocity10",2
"V64","V136",1,1,1,"reciprocity10",2
"V65","V104",1,1,1,"reciprocity10",2
"V66","V79",1,1,1,"reciprocity10",2
"V67","V7",1,1,1,"reciprocity10",2
"V67","V83",1,1,1,"reciprocity10",2
"V68","V5",1,1,1,"reciprocity10",2
"V69",NA,NA,1,1,"reciprocity10",2
"V70","V47",1,1,1,"reciprocity10",2
"V71","V138",1,1,1,"reciprocity10",2
"V72","V121",1,1,1,"reciprocity10",2
"V73","V45",1,1,1,"reciprocity10",2
"V73","V136",1,1,1,"reciprocity10",2
"V74","V134",1,1,1,"reciprocity10",2
"V75","V77",1,1,1,"reciprocity10",2
"V76","V94",1,1,1,"reciprocity10",2
"V76","V147",1,1,1,"reciprocity10",2
"V77","V56",1,1,1,"reciprocity10",2
"V77","V75",1,1,1,"reciprocity10",2
"V78","V101",1,1,1,"reciprocity10",2
"V79",NA,NA,1,1,"reciprocity10",2
"V80","V22",1,1,1,"reciprocity10",2
"V80","V135",1,1,1,"reciprocity10",2
"V81","V31",1,1,1,"reciprocity10",2
"V82",NA,NA,1,1,"reciprocity10",2
"V83","V67",1,1,1,"reciprocity10",2
"V84","V123",1,1,1,"reciprocity10",2
"V85","V102",1,1,1,"reciprocity10",2
"V86","V3",1,1,1,"reciprocity10",2
"V86","V46",1,1,1,"reciprocity10",2
"V86","V106",1,1,1,"reciprocity10",2
"V87","V55",1,1,1,"reciprocity10",2
"V87","V100",1,1,1,"reciprocity10",2
"V87","V101",1,1,1,"reciprocity10",2
"V87","V148",1,1,1,"reciprocity10",2
"V88","V1",1,1,1,"reciprocity10",2
"V88","V20",1,1,1,"reciprocity10",2
"V88","V40",1,1,1,"reciprocity10",2
"V88","V124",1,1,1,"reciprocity10",2
"V89","V14",1,1,1,"reciprocity10",2
"V89","V97",1,1,1,"reciprocity10",2
"V89","V112",1,1,1,"reciprocity10",2
"V90","V61",1,1,1,"reciprocity10",2
"V91","V94",1,1,1,"reciprocity10",2
"V92","V50",1,1,1,"reciprocity10",2
"V93","V116",1,1,1,"reciprocity10",2
"V94","V76",1,1,1,"reciprocity10",2
"V94","V91",1,1,1,"reciprocity10",2
"V95","V61",1,1,1,"reciprocity10",2
"V95","V106",1,1,1,"reciprocity10",2
"V96",NA,NA,1,1,"reciprocity10",2
"V97","V89",1,1,1,"reciprocity10",2
"V98","V62",1,1,1,"reciprocity10",2
"V98","V129",1,1,1,"reciprocity10",2
"V98","V137",1,1,1,"reciprocity10",2
"V99","V122",1,1,1,"reciprocity10",2
"V100",NA,NA,1,1,"reciprocity10",2
"V101","V78",1,1,1,"reciprocity10",2
"V101","V87",1,1,1,"reciprocity10",2
"V102","V85",1,1,1,"reciprocity10",2
"V103","V12",1,1,1,"reciprocity10",2
"V103","V60",1,1,1,"reciprocity10",2
"V103","V120",1,1,1,"reciprocity10",2
"V103","V143",1,1,1,"reciprocity10",2
"V104","V65",1,1,1,"reciprocity10",2
"V104","V108",1,1,1,"reciprocity10",2
"V105","V52",1,1,1,"reciprocity10",2
"V106","V25",1,1,1,"reciprocity10",2
"V106","V86",1,1,1,"reciprocity10",2
"V106","V95",1,1,1,"reciprocity10",2
"V107","V7",1,1,1,"reciprocity10",2
"V108","V104",1,1,1,"reciprocity10",2
"V109",NA,NA,1,1,"reciprocity10",2
"V110","V17",1,1,1,"reciprocity10",2
"V110","V47",1,1,1,"reciprocity10",2
"V111",NA,NA,1,1,"reciprocity10",2
"V112","V89",1,1,1,"reciprocity10",2
"V113","V13",1,1,1,"reciprocity10",2
"V113","V37",1,1,1,"reciprocity10",2
"V113","V135",1,1,1,"reciprocity10",2
"V114","V10",1,1,1,"reciprocity10",2
"V115",NA,NA,1,1,"reciprocity10",2
"V116","V93",1,1,1,"reciprocity10",2
"V117","V152",1,1,1,"reciprocity10",2
"V118",NA,NA,1,1,"reciprocity10",2
"V119","V96",1,1,1,"reciprocity10",2
"V120","V13",1,1,1,"reciprocity10",2
"V120","V57",1,1,1,"reciprocity10",2
"V120","V72",1,1,1,"reciprocity10",2
"V120","V103",1,1,1,"reciprocity10",2
"V121","V42",1,1,1,"reciprocity10",2
"V121","V72",1,1,1,"reciprocity10",2
"V122","V99",1,1,1,"reciprocity10",2
"V123","V84",1,1,1,"reciprocity10",2
"V123","V124",1,1,1,"reciprocity10",2
"V124",NA,NA,1,1,"reciprocity10",2
"V125",NA,NA,1,1,"reciprocity10",2
"V126",NA,NA,1,1,"reciprocity10",2
"V127","V43",1,1,1,"reciprocity10",2
"V128","V4",1,1,1,"reciprocity10",2
"V128","V129",1,1,1,"reciprocity10",2
"V129","V98",1,1,1,"reciprocity10",2
"V129","V128",1,1,1,"reciprocity10",2
"V129","V145",1,1,1,"reciprocity10",2
"V130",NA,NA,1,1,"reciprocity10",2
"V131",NA,NA,1,1,"reciprocity10",2
"V132","V56",1,1,1,"reciprocity10",2
"V132","V108",1,1,1,"reciprocity10",2
"V133",NA,NA,1,1,"reciprocity10",2
"V134",NA,NA,1,1,"reciprocity10",2
"V135","V80",1,1,1,"reciprocity10",2
"V135","V113",1,1,1,"reciprocity10",2
"V136","V73",1,1,1,"reciprocity10",2
"V137","V98",1,1,1,"reciprocity10",2
"V138","V71",1,1,1,"reciprocity10",2
"V139","V24",1,1,1,"reciprocity10",2
"V139","V147",1,1,1,"reciprocity10",2
"V140","V40",1,1,1,"reciprocity10",2
"V140","V46",1,1,1,"reciprocity10",2
"V141",NA,NA,1,1,"reciprocity10",2
"V142",NA,NA,1,1,"reciprocity10",2
"V143","V103",1,1,1,"reciprocity10",2
"V143","V155",1,1,1,"reciprocity10",2
"V144",NA,NA,1,1,"reciprocity10",2
"V145","V13",1,1,1,"reciprocity10",2
"V145","V129",1,1,1,"reciprocity10",2
"V146",NA,NA,1,1,"reciprocity10",2
"V147","V45",1,1,1,"reciprocity10",2
"V147","V51",1,1,1,"reciprocity10",2
"V147","V61",1,1,1,"reciprocity10",2
"V147","V76",1,1,1,"reciprocity10",2
"V148","V87",1,1,1,"reciprocity10",2
"V149","V6",1,1,1,"reciprocity10",2
"V150","V122",1,1,1,"reciprocity10",2
"V151",NA,NA,1,1,"reciprocity10",2
"V152","V32",1,1,1,"reciprocity10",2
"V153",NA,NA,1,1,"reciprocity10",2
"V154","V54",1,1,1,"reciprocity10",2
