"","X1","X2","count"
"1",1,14,1
"2",2,5,1
"3",2,12,1
"4",3,4,1
"5",4,5,1
"6",5,2,1
"7",5,4,1
"8",6,9,1
"9",6,12,1
"10",7,7,1
"11",8,1,1
"12",9,6,1
"13",10,10,1
"14",11,11,1
"15",12,6,1
"16",13,8,1
"17",14,NA,1
"18",15,15,1
"19",16,16,1
"20",1,1,2
"21",2,2,2
"22",3,3,2
"23",4,4,2
"24",5,5,2
"25",6,6,2
"26",7,7,2
"27",8,10,2
"28",8,11,2
"29",9,15,2
"30",10,8,2
"31",10,11,2
"32",11,8,2
"33",11,13,2
"34",12,13,2
"35",13,11,2
"36",13,12,2
"37",14,14,2
"38",15,NA,2
"39",16,16,2
"40",1,1,3
"41",2,3,3
"42",2,7,3
"43",3,6,3
"44",3,12,3
"45",4,5,3
"46",5,4,3
"47",6,3,3
"48",6,7,3
"49",7,6,3
"50",7,10,3
"51",8,10,3
"52",9,8,3
"53",10,7,3
"54",10,8,3
"55",11,14,3
"56",12,3,3
"57",13,13,3
"58",14,11,3
"59",15,4,3
"60",16,16,3
"61",1,1,4
"62",2,3,4
"63",3,2,4
"64",3,6,4
"65",3,7,4
"66",4,4,4
"67",5,5,4
"68",6,3,4
"69",6,12,4
"70",7,3,4
"71",8,9,4
"72",8,15,4
"73",9,8,4
"74",10,11,4
"75",11,14,4
"76",12,6,4
"77",12,13,4
"78",13,12,4
"79",14,11,4
"80",15,8,4
"81",16,16,4
"82",1,1,5
"83",2,3,5
"84",2,5,5
"85",2,13,5
"86",2,15,5
"87",3,2,5
"88",4,10,5
"89",5,2,5
"90",5,7,5
"91",6,13,5
"92",7,5,5
"93",8,10,5
"94",9,9,5
"95",10,8,5
"96",10,11,5
"97",11,10,5
"98",11,14,5
"99",12,7,5
"100",13,2,5
"101",13,6,5
"102",13,8,5
"103",14,NA,5
"104",15,NA,5
"105",16,16,5
"106",1,NA,6
"107",2,3,6
"108",2,5,6
"109",2,8,6
"110",3,2,6
"111",4,4,6
"112",5,2,6
"113",6,1,6
"114",6,13,6
"115",7,11,6
"116",8,2,6
"117",9,9,6
"118",10,10,6
"119",11,7,6
"120",12,6,6
"121",12,13,6
"122",13,6,6
"123",13,12,6
"124",14,16,6
"125",15,15,6
"126",16,14,6
"127",1,NA,7
"128",2,3,7
"129",3,2,7
"130",4,NA,7
"131",5,2,7
"132",5,4,7
"133",6,12,7
"134",6,13,7
"135",7,7,7
"136",8,1,7
"137",9,9,7
"138",10,2,7
"139",11,11,7
"140",12,6,7
"141",12,13,7
"142",12,15,7
"143",13,6,7
"144",13,12,7
"145",14,14,7
"146",15,12,7
"147",16,16,7
"148",1,1,8
"149",2,3,8
"150",3,14,8
"151",3,15,8
"152",4,4,8
"153",5,5,8
"154",6,9,8
"155",6,12,8
"156",7,10,8
"157",7,11,8
"158",8,9,8
"159",9,3,8
"160",9,6,8
"161",10,7,8
"162",11,7,8
"163",11,14,8
