X1,X2,drink,Wave
1,NA,2,1
2,3,1,1
3,2,3,1
3,12,3,1
3,15,3,1
4,5,4,1
5,2,3,1
5,3,3,1
5,4,3,1
6,3,3,1
6,12,3,1
6,13,3,1
7,10,4,1
8,9,2,1
8,10,2,1
8,11,2,1
9,8,2,1
10,7,3,1
10,11,3,1
10,14,3,1
11,7,1,1
11,10,1,1
11,14,1,1
12,2,4,1
12,6,4,1
12,13,4,1
13,2,4,1
13,12,4,1
14,11,3,1
15,12,2,1
16,NA,3,1
1,NA,3,2
2,12,1,2
3,NA,2,2
4,NA,4,2
5,3,3,2
5,9,3,2
6,5,4,2
6,8,4,2
6,9,4,2
6,13,4,2
7,NA,4,2
8,9,2,2
9,5,2,2
9,8,2,2
10,11,3,2
10,14,3,2
11,10,3,2
12,13,4,2
13,12,2,2
14,10,4,2
14,11,4,2
15,NA,2,2
16,9,3,2
1,NA,3,3
2,12,3,3
3,NA,3,3
4,NA,2,3
5,8,3,3
5,9,3,3
6,NA,4,3
7,NA,3,3
8,5,3,3
8,9,3,3
9,8,4,3
10,11,3,3
10,14,3,3
11,10,4,3
11,14,4,3
12,2,4,3
13,NA,4,3
14,10,3,3
14,11,3,3
15,NA,2,3
16,NA,4,3
