"Year","State","TOTAL.POPULATION","PERSONS.BORN.IN.AFRICA","PERSONS.BORN.IN.CUBA","WHITE.PERSONS","COLORED.PERSONS","Type"
1870,"ALABAMA",996992,244,NA,521384,475510,"State"
1870,"ARKANSAS",484471,NA,NA,362115,122169,"State"
1870,"CALIFORNIA",560247,NA,NA,499424,4272,"State"
1870,"COLORADO",39864,NA,NA,39221,456,"Territory"
1870,"CONNECTICUT",537454,NA,NA,527549,9668,"State"
1870,"DELAWARE",125015,NA,17,102221,22794,"State"
1870,"FLORIDA",187748,88,1155,96057,91689,"State"
1870,"GEORGIA",1184109,319,NA,638926,545142,"State"
1870,"ILLINOIS",2539891,NA,NA,2511096,28762,"State"
1870,"INDIANA",1680637,NA,NA,1655837,24560,"State"
1870,"IOWA",1194020,NA,NA,1188207,5762,"State"
1870,"KANSAS",364399,NA,NA,346377,17108,"State"
1870,"KENTUCKY",1321011,NA,NA,1098692,222210,"State"
1870,"LOUISIANA",726915,NA,994,362065,364210,"State"
1870,"MAINE",626915,NA,NA,624809,1606,"State"
1870,"MARYLAND",780894,NA,NA,605497,175391,"State"
1870,"MASSACHUSETTS",1457351,NA,NA,1443156,13947,"State"
1870,"MICHIGAN",1184059,NA,NA,1167282,11849,"State"
1870,"MINNESOTA",439706,NA,NA,438257,759,"State"
1870,"MISSISSIPPI",827922,125,NA,382896,444201,"State"
1870,"MISSOURI",1721295,NA,NA,1603146,118071,"State"
1870,"NEBRASKA",122993,NA,NA,122117,789,"State"
1870,"NEVADA",42491,NA,NA,38959,357,"State"
1870,"NEW HAMPSHIRE",318300,NA,NA,317697,580,"State"
1870,"NEW JERSEY",906096,NA,NA,875407,30658,"State"
1870,"NEW YORK",4382759,NA,NA,4330210,52081,"State"
1870,"NORTH CAROLINA",1071361,31,NA,678470,391650,"State"
1870,"OHIO",2665260,NA,NA,2601946,63213,"State"
1870,"OREGON",90923,NA,NA,86929,346,"State"
1870,"PENNSYLVANIA",3521951,NA,NA,3456609,65294,"State"
1870,"RHODE ISLAND",217353,NA,NA,212219,4980,"State"
1870,"SOUTH CAROLINA",705606,232,73,289667,415814,"State"
1870,"TENNESSEE",1258520,NA,NA,936119,322331,"State"
1870,"TEXAS",818579,NA,NA,564700,253475,"State"
1870,"VERMONT",330551,NA,NA,329613,924,"State"
1870,"VIRGINIA",1225163,NA,NA,712089,512841,"State"
1870,"WEST VIRGINIA",442014,NA,NA,424033,17980,"State"
1870,"WISCONSIN",1054670,NA,NA,1051351,2113,"State"
