"Year","State","TOTAL.POPULATION","TOTAL.FREE.POPULATION","AGGR..HALF.BREED.PERSONS","FOREIGN.BORN.BLACK.MALES","FOREIGN.BORN.BLACK.FEMALES","TOTAL.FOREIGN.BORN.BLACK.PERSONS","FOREIGN.BORN.MULATTO.MALES","FOREIGN.BORN.MULATTO.FEMALES","TOTAL.FOREIGN.BORN.MULATTO.PERSONS","TOTAL.NATIVE.BORN.MULATTO.PERSONS","NATIVE.BORN.MULATTO.FEMALES","NATIVE.BORN.BLACK.MALES","NATIVE.BORN.BLACK.FEMALES","TOTAL.NATIVE.BORN.BLACK.PERSONS","NATIVE.BORN.MULATTO.MALES","AGGR..FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.FEMALES","AGGR..SLAVES","TOTAL.MALE.SLAVES","TOTAL.FEMALE.SLAVES","Type"
1860,"ALABAMA",964201,529121,NA,NA,NA,NA,NA,NA,NA,2098,1138,293,297,590,960,2690,1254,1436,435080,217766,217314,"State"
1860,"ARKANSAS",435450,324335,NA,NA,NA,NA,NA,NA,NA,86,45,30,27,57,41,144,72,72,111115,56174,54941,"State"
1860,"CALIFORNIA",379994,379994,NA,208,41,249,156,46,202,1338,490,1615,682,2297,848,4086,2827,1259,NA,NA,NA,"State"
1860,"CONNECTICUT",460147,460147,NA,76,31,107,24,9,33,1862,993,3167,3458,6625,869,8627,4136,4491,NA,NA,NA,"State"
1860,"DELAWARE",112216,110418,NA,2,3,5,NA,NA,NA,2896,1446,8437,8491,16928,1450,19829,9889,9940,1798,860,938,"State"
1860,"FLORIDA",140424,78679,NA,10,12,22,4,3,7,636,322,126,141,267,314,932,454,478,61745,31348,30397,"State"
1860,"GEORGIA",1057286,595088,NA,8,13,21,6,1,7,1997,1066,724,751,1475,931,3500,1669,1831,462198,229193,233005,"State"
1860,"ILLINOIS",1711951,1711951,NA,17,15,32,18,20,38,3555,1792,2011,1992,4003,1763,7628,3809,3819,NA,NA,NA,"State"
1860,"INDIANA",1350428,1350428,NA,3,4,7,5,2,7,5440,2756,3099,2875,5974,2684,11428,5791,5637,NA,NA,NA,"State"
1860,"IOWA",674913,674913,NA,2,2,4,6,1,7,561,276,273,224,497,285,1069,566,503,NA,NA,NA,"State"
1860,"KANSAS",107206,107204,NA,0,0,0,1,0,1,265,146,166,193,359,119,625,286,339,2,0,2,"Territory"
1860,"KENTUCKY",1155684,930201,NA,2,3,5,1,1,2,4075,2198,3221,3381,6602,1877,10684,5101,5583,225483,113009,112474,"State"
