"Year","State","TOTAL.POPULATION","ALL.OTHER.FREE.PERSONS","FREE.COLORED.SLAVEHOLDING.FAMILIES","FREE.COLORED.NONSLAVEHOLDING.FAMILIES","Type","TOTAL.FREE.PERSONS","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION"
1790,"CONNECTICUT",237655,2771,6,413,"State",NA,NA,NA,NA,NA,NA,NA
1790,"DELAWARE",59096,3899,NA,NA,"State",NA,NA,NA,NA,NA,NA,NA
1790,"GEORGIA",82548,398,NA,NA,"State",NA,NA,NA,NA,NA,NA,NA
1790,"KENTUCKY",73677,114,NA,NA,"Territory",NA,NA,NA,NA,NA,NA,NA
1790,"MAINE",96643,536,NA,NA,"Territory",NA,NA,NA,NA,NA,NA,NA
1790,"MARYLAND",319728,8043,84,1198,"State",NA,NA,NA,NA,NA,NA,NA
1790,"MASSACHUSETTS",378556,5369,NA,NA,"State",NA,NA,NA,NA,NA,NA,NA
1790,"NEW HAMPSHIRE",141899,630,0,83,"State",NA,NA,NA,NA,NA,NA,NA
1790,"NEW JERSEY",184139,2762,NA,NA,"State",NA,NA,NA,NA,NA,NA,NA
1790,"NEW YORK",340241,4682,9,684,"State",NA,NA,NA,NA,NA,NA,NA
1790,"NORTH CAROLINA",395005,5041,28,652,"State",NA,NA,NA,NA,NA,NA,NA
1790,"PENNSYLVANIA",433611,6531,7,545,"State",NA,NA,NA,NA,NA,NA,NA
1790,"RHODE ISLAND",69112,3484,0,442,"State",NA,NA,NA,NA,NA,NA,NA
1790,"SOUTH CAROLINA",249073,1801,61,259,"State",NA,NA,NA,NA,NA,NA,NA
1790,"VERMONT",85341,269,NA,NA,"Territory",NA,NA,NA,NA,NA,NA,NA
1790,"VIRGINIA",747550,12866,NA,NA,"State",NA,NA,NA,NA,NA,NA,NA
1800,"CONNECTICUT",251002,5330,NA,NA,"State",250051,NA,NA,NA,NA,NA,NA
1800,"DELAWARE",64273,8268,NA,NA,"State",58120,NA,NA,NA,NA,NA,NA
1800,"GEORGIA",162686,1919,NA,NA,"State",104180,NA,NA,NA,NA,NA,NA
1800,"KENTUCKY",220955,741,NA,NA,"State",180612,NA,NA,NA,NA,NA,NA
1800,"MAINE",151719,818,NA,NA,"Territory",151719,NA,NA,NA,NA,NA,NA
1800,"MARYLAND",341543,19587,NA,NA,"State",235913,NA,NA,NA,NA,NA,NA
1800,"MASSACHUSETTS",422845,6452,NA,NA,"State",422845,NA,NA,NA,NA,NA,NA
1800,"NEW HAMPSHIRE",183858,852,NA,NA,"State",183850,NA,NA,NA,NA,NA,NA
1800,"NEW JERSEY",211149,4402,NA,NA,"State",198727,NA,NA,NA,NA,NA,NA
1800,"NEW YORK",586182,10374,NA,NA,"State",565569,NA,NA,NA,NA,NA,NA
1800,"NORTH CAROLINA",478103,7073,NA,NA,"State",344684,NA,NA,NA,NA,NA,NA
1800,"PENNSYLVANIA",602365,14564,NA,NA,"State",600659,NA,NA,NA,NA,NA,NA
1800,"RHODE ISLAND",69122,3304,NA,NA,"State",68742,NA,NA,NA,NA,NA,NA
