"Year","State","TOTAL.POPULATION","SLAVES","Type","FEMALE.SLAVES","MALES.SLAVES","TOTAL.SLAVES","TOTAL.FEMALE.SLAVES","TOTAL.MALE.SLAVES","AGGR..SLAVES"
1790,"CONNECTICUT",237655,2648,"State",NA,NA,NA,NA,NA,NA
1790,"DELAWARE",59096,8887,"State",NA,NA,NA,NA,NA,NA
1790,"GEORGIA",82548,29264,"State",NA,NA,NA,NA,NA,NA
1790,"KENTUCKY",73677,12430,"Territory",NA,NA,NA,NA,NA,NA
1790,"MAINE",96643,0,"Territory",NA,NA,NA,NA,NA,NA
1790,"MARYLAND",319728,103036,"State",NA,NA,NA,NA,NA,NA
1790,"MASSACHUSETTS",378556,0,"State",NA,NA,NA,NA,NA,NA
1790,"NEW HAMPSHIRE",141899,157,"State",NA,NA,NA,NA,NA,NA
1790,"NEW JERSEY",184139,11423,"State",NA,NA,NA,NA,NA,NA
1790,"NEW YORK",340241,21193,"State",NA,NA,NA,NA,NA,NA
1790,"NORTH CAROLINA",395005,100783,"State",NA,NA,NA,NA,NA,NA
1790,"PENNSYLVANIA",433611,3707,"State",NA,NA,NA,NA,NA,NA
1790,"RHODE ISLAND",69112,958,"State",NA,NA,NA,NA,NA,NA
1790,"SOUTH CAROLINA",249073,107094,"State",NA,NA,NA,NA,NA,NA
1790,"VERMONT",85341,0,"Territory",NA,NA,NA,NA,NA,NA
1790,"VIRGINIA",747550,292627,"State",NA,NA,NA,NA,NA,NA
1800,"CONNECTICUT",251002,951,"State",NA,NA,NA,NA,NA,NA
1800,"DELAWARE",64273,6153,"State",NA,NA,NA,NA,NA,NA
1800,"GEORGIA",162686,59699,"State",NA,NA,NA,NA,NA,NA
1800,"KENTUCKY",220955,40343,"State",NA,NA,NA,NA,NA,NA
1800,"MAINE",151719,0,"Territory",NA,NA,NA,NA,NA,NA
1800,"MARYLAND",341543,105635,"State",NA,NA,NA,NA,NA,NA
1800,"MASSACHUSETTS",422845,0,"State",NA,NA,NA,NA,NA,NA
1800,"NEW HAMPSHIRE",183858,8,"State",NA,NA,NA,NA,NA,NA
1800,"NEW JERSEY",211149,12422,"State",NA,NA,NA,NA,NA,NA
1800,"NEW YORK",586182,20613,"State",NA,NA,NA,NA,NA,NA
1800,"NORTH CAROLINA",478103,133296,"State",NA,NA,NA,NA,NA,NA
1800,"PENNSYLVANIA",602365,1706,"State",NA,NA,NA,NA,NA,NA
1800,"RHODE ISLAND",69122,380,"State",NA,NA,NA,NA,NA,NA
1800,"SOUTH CAROLINA",345591,146151,"State",NA,NA,NA,NA,NA,NA
1800,"TENNESSEE",105602,13584,"State",NA,NA,NA,NA,NA,NA
1800,"VERMONT",154465,0,"State",NA,NA,NA,NA,NA,NA
1800,"VIRGINIA",885171,346671,"State",NA,NA,NA,NA,NA,NA
1810,"CONNECTICUT",261942,310,"State",NA,NA,NA,NA,NA,NA
1810,"DELAWARE",72674,4177,"State",NA,NA,NA,NA,NA,NA
1810,"GEORGIA",252433,105218,"State",NA,NA,NA,NA,NA,NA
1810,"KENTUCKY",406511,80561,"State",NA,NA,NA,NA,NA,NA
1810,"MAINE",228705,0,"Territory",NA,NA,NA,NA,NA,NA
1810,"MARYLAND",380546,111502,"State",NA,NA,NA,NA,NA,NA
1810,"MASSACHUSETTS",472040,0,"State",NA,NA,NA,NA,NA,NA
