"Year","State","TOTAL.POPULATION","PERSONS.BORN.IN.CUBA.AND.THE.WEST.INDIES","PERSONS.BORN.IN.AFRICA","PERSONS.BORN.IN.ATLANTIC.ISLANDS","Type"
1890,"ALABAMA",1513017,NA,NA,NA,"State"
1890,"ARKANSAS",1128179,NA,NA,NA,"State"
1890,"CALIFORNIA",1208130,670,NA,2587,"State"
1890,"COLORADO",412198,57,NA,NA,"State"
1890,"CONNECTICUT",746258,200,NA,183,"State"
1890,"DELAWARE",168493,NA,NA,NA,"State"
1890,"FLORIDA",391422,12282,NA,NA,"State"
1890,"GEORGIA",1837353,119,NA,NA,"State"
1890,"IDAHO",84385,NA,NA,NA,"State"
1890,"ILLINOIS",3826351,278,NA,NA,"State"
1890,"INDIANA",2192404,32,NA,NA,"State"
1890,"IOWA",1911896,91,NA,NA,"State"
1890,"KANSAS",1427096,59,NA,NA,"State"
1890,"KENTUCKY",1858635,NA,NA,NA,"State"
1890,"LOUISIANA",1118587,648,82,NA,"State"
1890,"MAINE",661086,NA,NA,NA,"State"
1890,"MARYLAND",1042390,263,NA,43,"State"
1890,"MASSACHUSETTS",2238943,1103,NA,4973,"State"
1890,"MICHIGAN",2093889,138,NA,NA,"State"
1890,"MINNESOTA",1301826,61,NA,NA,"State"
1890,"MISSISSIPPI",1289600,NA,NA,NA,"State"
1890,"MISSOURI",2679184,148,NA,NA,"State"
1890,"MONTANA",132159,NA,NA,NA,"State"
1890,"NEBRASKA",1058910,NA,NA,NA,"State"
1890,"NEVADA",45761,NA,NA,NA,"State"
1890,"NEW HAMPSHIRE",376530,NA,NA,NA,"State"
1890,"NEW JERSEY",1444933,576,159,NA,"State"
1890,"NEW YORK",5997853,4065,NA,NA,"State"
1890,"NORTH CAROLINA",1617947,28,NA,NA,"State"
1890,"NORTH DAKOTA",182719,NA,NA,NA,"State"
1890,"OHIO",3672316,128,NA,NA,"State"
1890,"OREGON",313767,NA,NA,NA,"State"
1890,"PENNSYLVANIA",5258014,1047,NA,NA,"State"
1890,"RHODE ISLAND",345506,NA,NA,547,"State"
1890,"SOUTH CAROLINA",1151149,NA,NA,NA,"State"
1890,"SOUTH DAKOTA",328808,NA,NA,NA,"State"
1890,"TENNESSEE",1767518,NA,NA,NA,"State"
1890,"TEXAS",2235523,262,201,NA,"State"
1890,"UTAH",207905,NA,NA,NA,"Territory"
1890,"VERMONT",332422,NA,NA,NA,"State"
1890,"VIRGINIA",1655980,NA,NA,NA,"State"
1890,"WASHINGTON",349390,NA,NA,NA,"State"
1890,"WEST VIRGINIA",762794,NA,NA,NA,"State"
1890,"WISCONSIN",1686880,52,NA,NA,"State"
1890,"WYOMING",60705,NA,NA,NA,"State"
