GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,APP001,APP002,APP003,APP004
"G0100010","1880","Alabama","010","Autauga","0010","Autauga",4397,8710,0,1
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin",4890,3675,0,38
"G0100050","1880","Alabama","010","Barbour","0050","Barbour",13091,20884,0,4
"G0100070","1880","Alabama","010","Bibb","0070","Bibb",5887,3600,0,0
"G0100090","1880","Alabama","010","Blount","0090","Blount",14210,1159,0,0
"G0100110","1880","Alabama","010","Bullock","0110","Bullock",6944,22119,0,3
"G0100130","1880","Alabama","010","Butler","0130","Butler",10684,8965,0,0
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun",14134,5457,0,0
"G0100170","1880","Alabama","010","Chambers","0170","Chambers",11364,12075,0,1
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee",16418,2690,0,0
"G0100210","1880","Alabama","010","Chilton","0210","Chilton",8651,2142,0,0
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw",7390,8341,0,0
"G0100250","1880","Alabama","010","Clarke","0250","Clarke",7718,10086,0,2
"G0100270","1880","Alabama","010","Clay","0270","Clay",11870,1068,0,0
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne",10308,668,0,0
"G0100310","1880","Alabama","010","Coffee","0310","Coffee",6831,1288,0,0
"G0100330","1880","Alabama","010","Colbert","0330","Colbert",9203,6950,0,0
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh",6224,6380,0,1
"G0100370","1880","Alabama","010","Coosa","0370","Coosa",10050,5059,0,4
"G0100390","1880","Alabama","010","Covington","0390","Covington",4968,671,0,0
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw",9118,2608,0,0
"G0100430","1880","Alabama","010","Cullman","0430","Cullman",6312,43,0,0
"G0100450","1880","Alabama","010","Dale","0450","Dale",10553,2122,0,2
"G0100470","1880","Alabama","010","Dallas","0470","Dallas",8425,40007,0,1
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb",11993,682,0,0
"G0100510","1880","Alabama","010","Elmore","0510","Elmore",8747,8755,0,0
"G0100530","1880","Alabama","010","Escambia","0530","Escambia",4106,1590,0,23
"G0100550","1880","Alabama","010","Etowah","0550","Etowah",12896,2502,0,0
"G0100570","1880","Alabama","010","Fayette","0570","Fayette",8873,1262,0,0
