GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",8418,8710,7292,0,0,0,0,0,0,116,1,2,2342,2359,30,38,18,9,4188,4346
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",3263,3675,2845,0,0,0,0,0,0,0,38,0,2655,2597,148,150,91,37,1659,1604
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",21442,20884,17165,0,0,0,0,0,0,2,4,1,5896,7200,130,143,52,33,10412,11032
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",4744,3600,2408,0,0,0,0,0,0,0,0,0,4177,4156,153,143,306,145,2486,2258
"G0100090","1890","Alabama","010","Blount","0090","Blount",1770,1159,682,0,0,0,0,0,0,2,0,0,9963,9885,92,92,80,43,1041,731
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",21005,22119,17251,0,0,0,0,0,0,3,3,0,2930,3059,21,30,8,7,10322,10686
"G0100130","1890","Alabama","010","Butler","0130","Butler",10315,8965,6391,0,0,0,0,0,0,0,0,0,5501,5700,39,47,31,8,5068,5247
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",9879,5457,3892,3,0,0,0,0,0,6,0,0,11787,11202,284,240,280,154,5135,4753
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",13858,12075,8588,0,0,0,0,0,0,1,1,0,6108,6180,76,64,18,14,6811,7048
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",2803,2690,1480,0,0,0,0,0,0,0,0,0,8789,8735,56,43,29,4,1479,1324
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",3066,2142,1137,0,0,0,0,0,0,0,0,0,5777,5601,41,40,20,4,1594,1472
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",9313,8341,6872,0,0,0,0,0,0,4,0,2,4082,4020,41,44,18,4,4629,4688
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",12939,10086,7565,0,0,0,0,0,0,0,2,0,4841,4735,37,50,14,8,6577,6362
"G0100270","1890","Alabama","010","Clay","0270","Clay",1704,1068,737,0,0,0,0,0,0,0,0,0,6941,7035,41,37,6,1,846,858
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",791,668,576,0,0,0,0,0,0,0,0,0,5982,6099,160,177,5,4,409,382
