GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AK3001,AK3002,AK3003,AK3004
"G0100010","1870","Alabama","010","Autauga","0010","Autauga",4329,7292,0,2
"G0100015","1870","Alabama","010","Baker","0015","Baker",5057,1137,0,0
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin",3159,2845,0,0
"G0100050","1870","Alabama","010","Barbour","0050","Barbour",12143,17165,0,1
"G0100070","1870","Alabama","010","Bibb","0070","Bibb",5061,2408,0,0
"G0100090","1870","Alabama","010","Blount","0090","Blount",9263,682,0,0
"G0100110","1870","Alabama","010","Bullock","0110","Bullock",7223,17251,0,0
"G0100130","1870","Alabama","010","Butler","0130","Butler",8590,6391,0,0
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun",10088,3892,0,0
"G0100170","1870","Alabama","010","Chambers","0170","Chambers",8974,8588,0,0
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee",9652,1480,0,0
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw",5802,6872,0,2
"G0100250","1870","Alabama","010","Clarke","0250","Clarke",7098,7565,0,0
"G0100270","1870","Alabama","010","Clay","0270","Clay",8823,737,0,0
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne",7441,576,0,0
"G0100310","1870","Alabama","010","Coffee","0310","Coffee",5151,1020,0,0
"G0100330","1870","Alabama","010","Colbert","0330","Colbert",7898,4639,0,0
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh",4667,4901,0,6
"G0100370","1870","Alabama","010","Coosa","0370","Coosa",8544,3394,0,7
"G0100390","1870","Alabama","010","Covington","0390","Covington",4269,599,0,0
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw",8950,2206,0,0
"G0100450","1870","Alabama","010","Dale","0450","Dale",9528,1797,0,0
"G0100470","1870","Alabama","010","Dallas","0470","Dallas",8552,32152,0,1
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb",6656,470,0,0
"G0100510","1870","Alabama","010","Elmore","0510","Elmore",7747,6730,0,0
"G0100530","1870","Alabama","010","Escambia","0530","Escambia",3047,951,0,43
"G0100550","1870","Alabama","010","Etowah","0550","Etowah",8401,1708,0,0
"G0100570","1870","Alabama","010","Fayette","0570","Fayette",6059,1077,0,0
"G0100590","1870","Alabama","010","Franklin","0590","Franklin",6693,1313,0,0
"G0100610","1870","Alabama","010","Geneva","0610","Geneva",2732,227,0,0
"G0100630","1870","Alabama","010","Greene","0630","Greene",3858,14541,0,0
"G0100650","1870","Alabama","010","Hale","0650","Hale",4802,16990,0,0
"G0100670","1870","Alabama","010","Henry","0670","Henry",9534,4657,0,0
"G0100710","1870","Alabama","010","Jackson","0710","Jackson",16350,3060,0,0
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson",9839,2506,0,0
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale",9921,5170,0,0
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence",10096,6562,0,0
"G0100810","1870","Alabama","010","Lee","0810","Lee",10151,11597,0,2
"G0100830","1870","Alabama","010","Limestone","0830","Limestone",7764,7253,0,0
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes",5086,20633,0,0
"G0100870","1870","Alabama","010","Macon","0870","Macon",5103,12620,0,4
"G0100890","1870","Alabama","010","Madison","0890","Madison",15527,15740,0,0
"G0100910","1870","Alabama","010","Marengo","0910","Marengo",6090,20058,0,3
"G0100930","1870","Alabama","010","Marion","0930","Marion",5835,224,0,0
"G0100950","1870","Alabama","010","Marshall","0950","Marshall",8504,1367,0,0
"G0100970","1870","Alabama","010","Mobile","0970","Mobile",28195,21107,0,9
"G0100990","1870","Alabama","010","Monroe","0990","Monroe",6625,7572,0,17
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery",12419,31285,0,0
"G0101030","1870","Alabama","010","Morgan","1030","Morgan",8829,3358,0,0
"G0101050","1870","Alabama","010","Perry","1050","Perry",7142,17833,0,0
"G0101070","1870","Alabama","010","Pickens","1070","Pickens",8052,9638,0,0
"G0101090","1870","Alabama","010","Pike","1090","Pike",12798,4625,0,0
"G0101110","1870","Alabama","010","Randolph","1110","Randolph",10365,1641,0,0
"G0101130","1870","Alabama","010","Russell","1130","Russell",5946,15690,0,0
"G0101150","1870","Alabama","010","St Clair","1150","St Clair",7295,2065,0,0
"G0101155","1870","Alabama","010","Sanford","1155","Sanford",7330,1563,0,0
"G0101170","1870","Alabama","010","Shelby","1170","Shelby",8840,3378,0,0
"G0101190","1870","Alabama","010","Sumter","1190","Sumter",5202,18907,0,0
"G0101210","1870","Alabama","010","Talladega","1210","Talladega",8469,9595,0,0
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa",12772,4190,0,1
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa",11787,8294,0,0
"G0101270","1870","Alabama","010","Walker","1270","Walker",6235,308,0,0
"G0101290","1870","Alabama","010","Washington","1290","Washington",2125,1787,0,0
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox",6767,21610,0,0
"G0101330","1870","Alabama","010","Winston","1330","Winston",4134,21,0,0
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave",175,4,0,0
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute",,,,
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima",5698,12,0,6
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai",2116,8,12,6
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma",1592,2,8,19
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas",3982,4212,74,0
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley",4278,3764,0,0
"G0500070","1870","Arkansas","050","Benton","0070","Benton",13640,182,0,9
"G0500090","1870","Arkansas","050","Boone","0090","Boone",6958,74,0,0
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley",6117,2529,0,0
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun",2753,1100,0,0
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll",5743,37,0,0
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot",1816,5393,5,0
"G0500190","1870","Arkansas","050","Clark","0190","Clark",8461,3492,0,0
